"","Type","Flora","Batch"
"1948","HM20","S",2
"1949","HM20","S",2
"1950","HM20","S",2
"1951","HM20","S",2
"2209","HM20","S",3
"2210","HM20","S",3
"2211","HM20","S",3
"2212","HM20","S",3
"2213","HM20","S",3
"2214","HM20","S",3
"2215","HM20","S",3
"2217","HM20","S",3
"2218","HM20","S",3
"2219","HM20","S",3
"2220","HM20","S",3
"2221","HM20","S",3
"2222","HM20","S",3
"2223","HM20","S",3
"2224","HM20","S",3
"2225","HM20","S",3
"2472","HM20","S",4
"2473","HM20","S",4
"2474","HM20","S",4
"2475","HM20","S",4
"2476","HM20","S",4
"2477","HM20","S",4
"2478","HM20","S",4
"2479","HM20","S",4
"2480","HM20","S",4
"2481","HM20","S",4
"2482","HM20","S",4
"2483","HM20","S",4
"2484","HM20","S",4
"2485","HM20","S",4
"2486","HM20","S",4
"2487","HM20","S",4
"2490","HM20","S",4
"2784","HM20","S",5
"2785","HM20","S",5
"2786","HM20","S",5
"2787","HM20","S",5
"2788","HM20","S",5
"2789","HM20","S",5
"2790","HM20","S",5
"2792","HM20","S",5
"2793","HM20","S",5
"2794","HM20","S",5
"2796","HM20","S",5
"2797","HM20","S",5
"2798","HM20","S",5
"2799","HM20","S",5
"2800","HM20","S",5
"2801","HM20","S",5
"2802","HM20","S",5
"3114","HM20","S",6
"3115","HM20","S",6
"3116","HM20","S",6
"3117","HM20","S",6
"3118","HM20","S",6
"3119","HM20","S",6
"3120","HM20","S",6
"3121","HM20","S",6
"3122","HM20","S",6
"3123","HM20","S",6
"3124","HM20","S",6
"3125","HM20","S",6
"3126","HM20","S",6
"3127","HM20","S",6
"3128","HM20","S",6
"3129","HM20","S",6
"3130","HM20","S",6
"3424","HM20","S",7
"3425","HM20","S",7
"3426","HM20","S",7
"3427","HM20","S",7
"3428","HM20","S",7
"3429","HM20","S",7
"3430","HM20","S",7
"3432","HM20","S",7
"3434","HM20","S",7
"3435","HM20","S",7
"3436","HM20","S",7
"3437","HM20","S",7
"3438","HM20","S",7
"3440","HM20","S",7
"3441","HM20","S",7
"3718","HM20","S",8
"3719","HM20","S",8
"3720","HM20","S",8
"3721","HM20","S",8
"3722","HM20","S",8
"3723","HM20","S",8
"3724","HM20","S",8
"3725","HM20","S",8
"3727","HM20","S",8
"3728","HM20","S",8
"3729","HM20","S",8
"3730","HM20","S",8
"3731","HM20","S",8
"3733","HM20","S",8
"3734","HM20","S",8
"3735","HM20","S",8
"3736","HM20","S",8
"3737","HM20","S",8
"4003","HM20","S",9
"4004","HM20","S",9
"4005","HM20","S",9
"4006","HM20","S",9
"4007","HM20","S",9
"4008","HM20","S",9
"4009","HM20","S",9
"4010","HM20","S",9
