"","Type","Flora","Batch"
"207","HM20","C",13.5
"208","HM20","C",13.5
"209","HM20","C",13.5
"210","HM20","C",13.5
"211","HM20","C",13.5
"212","HM20","C",13.5
"213","HM20","C",13.5
"214","HM20","C",13.5
"215","HM20","C",13.5
"216","HM20","C",13.5
"217","HM20","C",13.5
"218","HM20","C",13.5
"219","HM20","C",13.5
"220","HM20","C",13.5
"221","HM20","C",13.5
"274","HM20","C",14
"275","HM20","C",14
"276","HM20","C",14
"277","HM20","C",14
"278","HM20","C",14
"279","HM20","C",14
"281","HM20","C",14
"282","HM20","C",14
"283","HM20","C",14
"284","HM20","C",14
"285","HM20","C",14
"286","HM20","C",14
"287","HM20","C",14
"288","HM20","C",14
"289","HM20","C",14
"290","HM20","C",14
"291","HM20","C",14
"292","HM20","C",14
"293","HM20","C",14
"294","HM20","C",14
"295","HM20","C",14
"296","HM20","C",14
"297","HM20","C",14
"298","HM20","C",14
"299","HM20","C",14
"300","HM20","C",14
"301","HM20","C",14
"302","HM20","C",14
"303","HM20","C",14
"304","HM20","C",14
"305","HM20","C",14
"306","HM20","C",14
"252","HM20","C",14.5
"253","HM20","C",14.5
"254","HM20","C",14.5
"255","HM20","C",14.5
"256","HM20","C",14.5
"258","HM20","C",14.5
"260","HM20","C",14.5
"262","HM20","C",14.5
"263","HM20","C",14.5
"264","HM20","C",14.5
"265","HM20","C",14.5
"266","HM20","C",14.5
"267","HM20","C",14.5
"268","HM20","C",14.5
"269","HM20","C",14.5
"270","HM20","C",14.5
"271","HM20","C",14.5
"272","HM20","C",14.5
"273","HM20","C",14.5
"329","HM20","C",15
"330","HM20","C",15
"331","HM20","C",15
"332","HM20","C",15
"334","HM20","C",15
"335","HM20","C",15
"336","HM20","C",15
"337","HM20","C",15
"338","HM20","C",15
"339","HM20","C",15
"340","HM20","C",15
"341","HM20","C",15
"342","HM20","C",15
"343","HM20","C",15
"344","HM20","C",15
"307","HM20","C",15.5
"308","HM20","C",15.5
"309","HM20","C",15.5
"310","HM20","C",15.5
"311","HM20","C",15.5
"312","HM20","C",15.5
"313","HM20","C",15.5
"314","HM20","C",15.5
"315","HM20","C",15.5
"316","HM20","C",15.5
"317","HM20","C",15.5
"318","HM20","C",15.5
"319","HM20","C",15.5
"320","HM20","C",15.5
"321","HM20","C",15.5
"322","HM20","C",15.5
"323","HM20","C",15.5
"324","HM20","C",15.5
"325","HM20","C",15.5
"326","HM20","C",15.5
"327","HM20","C",15.5
"328","HM20","C",15.5
"345","HM20","C",16
"346","HM20","C",16
"347","HM20","C",16
"348","HM20","C",16
"349","HM20","C",16
"350","HM20","C",16
"351","HM20","C",16
"352","HM20","C",16
"353","HM20","C",16
"354","HM20","C",16
"355","HM20","C",16
"356","HM20","C",16
"357","HM20","C",16
"358","HM20","C",16
"359","HM20","C",16
"360","HM20","C",16
"361","HM20","C",16
"362","HM20","C",16
"363","HM20","C",16
"364","HM20","C",16
"365","HM20","C",16
"366","HM20","C",16
"367","HM20","C",16
"368","HM20","C",16
"1106","HM20","C",1
"2205","HM20","C",1
"3120","HM20","C",1
"4100","HM20","C",1
"5100","HM20","C",1
"6100","HM20","C",1
"7100","HM20","C",1
"878","HM20","C",1
"9100","HM20","C",1
"1074","HM20","C",1
"1174","HM20","C",1
"1216","HM20","C",1
"1330","HM20","C",1
"14100","HM20","C",1
"15100","HM20","C",1
"1670","HM20","C",1
"17100","HM20","C",1
"1848","HM20","C",1
"1999","HM20","C",1
"2055","HM20","C",1
"21100","HM20","C",1
"2338","HM20","C",2
"2339","HM20","C",2
"2340","HM20","C",2
"2341","HM20","C",2
"2343","HM20","C",2
"2344","HM20","C",2
"2345","HM20","C",2
"2346","HM20","C",2
"2347","HM20","C",2
"2348","HM20","C",2
"2349","HM20","C",2
"2350","HM20","C",2
"2351","HM20","C",2
"2352","HM20","C",2
"2354","HM20","C",2
"2355","HM20","C",2
"2356","HM20","C",2
"2357","HM20","C",2
"2625","HM20","C",3
"2626","HM20","C",3
"2627","HM20","C",3
"2628","HM20","C",3
"2629","HM20","C",3
"2630","HM20","C",3
"2631","HM20","C",3
"2632","HM20","C",3
"2633","HM20","C",3
"2634","HM20","C",3
"2635","HM20","C",3
"2636","HM20","C",3
"2637","HM20","C",3
"2638","HM20","C",3
"2639","HM20","C",3
"2640","HM20","C",3
"2641","HM20","C",3
"2642","HM20","C",3
"2643","HM20","C",3
"2644","HM20","C",3
"2645","HM20","C",3
"2646","HM20","C",3
"2647","HM20","C",3
"2648","HM20","C",3
"2649","HM20","C",3
"2650","HM20","C",3
"2899","HM20","C",4
"2900","HM20","C",4
