"","Type","Flora","Batch"
"1398","HM20","A",29
"1399","HM20","A",29
"1400","HM20","A",29
"1401","HM20","A",29
"1402","HM20","A",29
"1403","HM20","A",29
"1424","HM20","A",30
"1425","HM20","A",30
"1426","HM20","A",30
"1427","HM20","A",30
"1428","HM20","A",30
"1429","HM20","A",30
"1430","HM20","A",30
"1431","HM20","A",30
"1432","HM20","A",30
"1433","HM20","A",30
"1434","HM20","A",30
"1435","HM20","A",30
"1436","HM20","A",30
"1437","HM20","A",30
"1438","HM20","A",30
"1439","HM20","A",31
"1440","HM20","A",31
"1441","HM20","A",31
"1442","HM20","A",31
"1443","HM20","A",31
"1444","HM20","A",31
"1445","HM20","A",31
"1446","HM20","A",31
"1447","HM20","A",31
"1448","HM20","A",31
"1449","HM20","A",31
"1450","HM20","A",31
"1451","HM20","A",31
"1452","HM20","A",31
"1453","HM20","A",31
"1454","HM20","A",31
"1455","HM20","A",31
"1456","HM20","A",31
"1457","HM20","A",31
"1458","HM20","A",31
"1459","HM20","A",32
"1460","HM20","A",32
"1461","HM20","A",32
"1462","HM20","A",32
"1463","HM20","A",32
"1464","HM20","A",32
"1465","HM20","A",32
"1466","HM20","A",32
"1467","HM20","A",32
"1468","HM20","A",32
"1469","HM20","A",32
"1470","HM20","A",32
"1471","HM20","A",32
"1472","HM20","A",32
"1473","HM20","A",32
"1474","HM20","A",32
"1475","HM20","A",32
"1476","HM20","A",32
"1478","HM20","A",32
"1479","HM20","A",32
"1480","HM20","A",32
"1481","HM20","A",32
"1482","HM20","A",32
"1483","HM20","A",33
"1484","HM20","A",33
"1485","HM20","A",33
"1486","HM20","A",33
"1487","HM20","A",33
"1488","HM20","A",33
"1489","HM20","A",33
"1490","HM20","A",33
"1491","HM20","A",33
"1492","HM20","A",33
"1494","HM20","A",33
"1495","HM20","A",33
"1496","HM20","A",33
"1497","HM20","A",33
"1498","HM20","A",33
"1499","HM20","A",33
"1500","HM20","A",33
"1501","HM20","A",33
"1502","HM20","A",33
"1503","HM20","A",33
"1504","HM20","A",33
"1505","HM20","A",34
"1506","HM20","A",34
"1507","HM20","A",34
"1508","HM20","A",34
"1509","HM20","A",34
"1510","HM20","A",34
"1511","HM20","A",34
"1512","HM20","A",34
"1513","HM20","A",34
"1514","HM20","A",34
"1515","HM20","A",34
"1516","HM20","A",34
"1517","HM20","A",34
"1518","HM20","A",34
"1519","HM20","A",34
"1520","HM20","A",34
"1521","HM20","A",34
"1523","HM20","A",34
"1524","HM20","A",34
"1525","HM20","A",34
"1526","HM20","A",34
"1528","HM20","A",34
"1529","HM20","A",34
"1530","HM20","A",34
"1531","HM20","A",34
"1532","HM20","A",34
"1533","HM20","A",34
"1534","HM20","A",34
"1535","HM20","A",34
"1536","HM20","A",35
"1538","HM20","A",35
"1539","HM20","A",35
"1540","HM20","A",35
"1541","HM20","A",35
"1542","HM20","A",35
"1543","HM20","A",35
