BP,WMI
1754,-0.3072
1755,-0.2418
1756,-0.0981
1757,0.0457
1758,0.1447
1759,0.2437
1760,0.3314
1761,0.4416
1762,0.5518
1763,0.6619
1764,0.8169
1765,0.8823
1766,0.9476
1767,0.9514
1768,0.9551
1769,0.9588
1770,0.9626
1771,1.1175
1772,1.2725
1773,1.2595
1774,1.2465
1775,1.2147
1776,1.1826
1777,1.1504
1778,1.1649
1779,1.1794
1780,1.194
1781,1.2084
1782,1.1054
1783,1.0023
1784,1.0505
1785,1.0985
1786,1.1467
1787,1.1948
1788,1.1701
1789,1.1454
1790,1.2552
1791,1.2753
1792,1.2954
1793,1.3156
1794,1.3357
1795,1.2438
1796,1.152
1797,1.1048
1798,1.0577
1799,1.0256
1800,0.9935
1801,0.9612
1802,0.8619
1803,0.7626
1804,0.6632
1805,0.5041
1806,0.345
1807,0.2829
1808,0.2209
1809,0.1589
1810,0.1678
1811,0.1768
1812,0.1409
1813,0.105
1814,0.155
1815,0.205
1816,0.2551
1817,0.208
1818,0.1609
1819,0.1586
1820,0.1564
1821,0.1541
1822,0.1294
1823,0.1048
1824,0.2743
1825,0.4438
1826,0.6133
1827,0.555
1828,0.4968
1829,0.4161
1830,0.3354
1831,0.2809
1832,0.2263
1833,0.1718
1834,0.1695
1835,0.1673
1836,0.1053
1837,0.0432
1838,-0.0188
1839,-0.0509
1840,-0.083
1841,-0.1152
1842,-0.1734
1843,-0.2317
1844,-0.2788
1845,-0.281
1846,-0.2161
1847,-0.1511
1848,-0.0861
1849,-0.0548
1850,-0.0234
1851,0.0416
1852,0.1065
1853,0.1155
1854,0.1244
1855,0.1334
1856,0.1423
1857,0.1065
1858,0.0706
1859,0.0908
1860,0.1109
1861,0.1423
1862,0.1737
1863,0.1117
1864,0.0497
1865,-0.0123
1866,-0.0594
1867,-0.1064
1868,-0.1423
1869,-0.1781
1870,-0.1748
1871,-0.1714
1872,-0.1681
1873,-0.1647
1874,-0.0661
1875,0.0325
1876,0.0078
1877,-0.0168
1878,-0.0415
1879,-0.0661
1880,-0.0852
1881,-0.1042
1882,-0.1233
1883,-0.1423
1884,-0.0997
1885,-0.0571
1886,-0.0146
1887,0.028
1888,0.0706
1889,0.0851
1890,0.0997
1891,0.1143
1892,0.1289
1893,0.108
1894,0.0871
1895,0.0662
1896,0.0452
1897,0.0243
1898,0.0034
1899,-0.0212
1900,-0.0458
1901,-0.0705
1902,-0.0951
1903,-0.1442
1904,-0.1933
1905,-0.2423
1906,-0.2914
1907,-0.3405
1908,-0.3896
1909,-0.4386
1910,-0.4877
1911,-0.5368
1912,-0.5858
1913,-0.6349
1914,-0.6351
1915,-0.6353
1916,-0.6355
1917,-0.6357
1918,-0.6358
1919,-0.636
1920,-0.6362
1921,-0.6364
1922,-0.6366
1923,-0.6368
1924,-0.637
1925,-0.5944
1926,-0.5518
1927,-0.5092
1928,-0.4666
1929,-0.424
1930,-0.3814
1931,-0.3388
1932,-0.2962
1933,-0.2536
1934,-0.211
1935,-0.2478
1936,-0.2847
1937,-0.3215
1938,-0.3583
1939,-0.3952
1940,-0.432
1941,-0.4689
1942,-0.5016
1943,-0.5343
1944,-0.5671
1945,-0.5998
1946,-0.6043
1947,-0.6088
1948,-0.6133
1949,-0.6178
1950,-0.6223
1951,-0.6268
1952,-0.6313
1953,-0.6238
1954,-0.6163
1955,-0.6088
1956,-0.6013
1957,-0.6083
1958,-0.6154
1959,-0.6225
1960,-0.6295
1961,-0.6366
1962,-0.6436
1963,-0.6507
1964,-0.6577
1965,-0.6648
1966,-0.6718
1967,-0.6659
1968,-0.6599
1969,-0.6539
1970,-0.6479
1971,-0.6419
1972,-0.6359
1973,-0.63
1974,-0.624
1975,-0.618
1976,-0.612
1977,-0.606
1978,-0.5974
1979,-0.5888
1980,-0.5801
1981,-0.5715
1982,-0.5628
1983,-0.5542
1984,-0.5456
1985,-0.5369
1986,-0.5283
1987,-0.5197
1988,-0.4587
1989,-0.3977
1990,-0.3367
1991,-0.2757
1992,-0.2147
1993,-0.1537
1994,-0.0927
1995,-0.0317
1996,0.0292
1997,0.0902
1998,0.1512
1999,0.1115
2000,0.0719
2001,0.0322
2002,-0.0075
2003,-0.0472
2004,-0.0869
2005,-0.1266
2006,-0.1695
2007,-0.2124
2008,-0.2552
2009,-0.2981
2010,-0.3097
2011,-0.3212
2012,-0.3327
2013,-0.3442
2014,-0.3557
2015,-0.3672
2016,-0.3787
2017,-0.3903
2018,-0.4018
2019,-0.4133
2020,-0.4154
2021,-0.4176
2022,-0.4197
2023,-0.4219
2024,-0.424
2025,-0.4261
2026,-0.4283
2027,-0.4304
2028,-0.4326
2029,-0.4347
2030,-0.4368
2031,-0.4451
2032,-0.4533
2033,-0.4616
2034,-0.4698
2035,-0.4781
2036,-0.4863
2037,-0.4946
2038,-0.5028
2039,-0.5111
2040,-0.5193
2041,-0.5276
2042,-0.5323
2043,-0.5371
2044,-0.5419
2045,-0.5467
2046,-0.5515
2047,-0.5563
2048,-0.561
2049,-0.5658
2050,-0.5706
2051,-0.5754
2052,-0.5818
2053,-0.5883
2054,-0.5948
2055,-0.6012
2056,-0.6077
2057,-0.6141
2058,-0.6206
2059,-0.627
2060,-0.6251
2061,-0.6232
2062,-0.6212
2063,-0.5565
2064,-0.4918
2065,-0.4272
2066,-0.3625
2067,-0.2978
2068,-0.2331
2069,-0.1684
2070,-0.1037
2071,-0.0391
2072,0.0256
2073,0.0052
2074,-0.0153
2075,-0.0357
2076,-0.0562
2077,-0.0767
2078,-0.0971
2079,-0.1176
2080,-0.138
2081,-0.1585
2082,-0.1789
2083,-0.1994
2084,-0.2158
2085,-0.2321
2086,-0.2485
2087,-0.2649
2088,-0.2813
2089,-0.2977
2090,-0.314
2091,-0.3304
2092,-0.3468
2093,-0.3632
2094,-0.3795
2095,-0.335
2096,-0.2905
2097,-0.246
2098,-0.2014
2099,-0.1569
2100,-0.1124
2101,-0.0678
2102,-0.0233
2103,0.0212
2104,0.0657
2105,0.0876
2106,0.1095
2107,0.1314
2108,0.1532
2109,0.1751
2110,0.197
2111,0.2189
2112,0.2408
2113,0.2626
2114,0.2758
2115,0.2889
2116,0.2394
2117,0.1898
2118,0.1402
2119,0.0907
2120,0.0411
2121,-0.0085
2122,-0.0581
2123,-0.1076
2124,-0.1572
2125,-0.2068
2126,-0.1294
2127,-0.0521
2128,0.0252
2129,0.1026
2130,0.1799
2131,0.2572
2132,0.3345
2133,0.4119
2134,0.4892
2135,0.5665
2136,0.6439
2137,0.5969
2138,0.55
2139,0.5031
2140,0.4562
2141,0.4093
2142,0.3623
2143,0.3154
2144,0.2685
2145,0.2216
2146,0.1747
2147,0.1277
2148,0.114
2149,0.1003
2150,0.0866
2151,0.0729
2152,0.0592
2153,0.0454
2154,0.0317
2155,0.018
2156,0.0043
2157,-0.0094
2158,0.0172
2159,0.0438
2160,0.0704
2161,0.0971
2162,0.1237
2163,0.1503
2164,0.1769
2165,0.2035
2166,0.2301
2167,0.2567
2168,0.3035
2169,0.2627
2170,0.2219
2171,0.1811
2172,0.1403
2173,0.0995
2174,0.0587
2175,0.0179
2176,-0.0229
2177,-0.0637
2178,-0.1045
2179,-0.1453
2180,-0.1366
2181,-0.1279
2182,-0.1192
2183,-0.1105
2184,-0.1018
2185,-0.0931
2186,-0.0844
2187,-0.0758
2188,-0.0671
2189,-0.0584
2190,-0.0686
2191,-0.0789
2192,-0.0891
2193,-0.0994
2194,-0.1096
2195,-0.1199
2196,-0.1301
2197,-0.1403
2198,-0.1506
2199,-0.1608
2200,-0.1711
2201,-0.131
2202,-0.091
2203,-0.0509
2204,-0.0108
2205,0.0292
2206,0.0693
2207,0.1071
2208,0.145
2209,0.1828
2210,0.2207
2211,0.2137
2212,0.2067
2213,0.1998
2214,0.1928
2215,0.1858
2216,0.1789
2217,0.1719
2218,0.1649
2219,0.158
2220,0.151
2221,0.1508
2222,0.1141
2223,0.0775
2224,0.0408
2225,0.0042
2226,-0.0325
2227,-0.0692
2228,-0.1058
2229,-0.1425
2230,-0.0251
2231,0.0923
2232,0.2097
2233,0.3271
2234,0.4445
2235,0.5619
2236,0.6792
2237,0.7966
2238,0.7068
2239,0.6169
2240,0.527
2241,0.4372
2242,0.3473
2243,0.2574
2244,0.1676
2245,0.0777
2246,-0.0122
2247,-0.0152
2248,-0.0183
2249,-0.0213
2250,-0.0244
2251,-0.0274
2252,-0.0304
2253,-0.0335
2254,-0.0365
2255,-0.0172
2256,0.0022
2257,0.0216
2258,0.0409
2259,0.0603
2260,0.0796
2261,0.099
2262,0.1184
2263,0.1377
2264,0.1571
2265,0.1764
2266,0.1958
2267,0.2152
2268,0.2345
2269,0.2539
2270,0.2732
2271,0.3122
2272,0.3512
2273,0.3901
2274,0.4291
2275,0.4681
2276,0.507
2277,0.546
2278,0.585
2279,0.5651
2280,0.5453
2281,0.5254
2282,0.5056
2283,0.4857
2284,0.4658
2285,0.446
2286,0.4261
2287,0.4483
2288,0.4705
2289,0.4926
2290,0.5148
2291,0.5369
2292,0.5591
2293,0.5813
2294,0.6034
2295,0.6288
2296,0.6541
2297,0.6795
2298,0.7049
2299,0.7302
2300,0.7556
2301,0.7809
2302,0.8106
2303,0.8402
2304,0.8698
2305,0.8994
2306,0.9291
2307,0.9587
2308,0.936
2309,0.9134
2310,0.8823
2311,0.8513
2312,0.8202
2313,0.7892
2314,0.7581
2315,0.727
2316,0.696
2317,0.6649
2318,0.6339
2319,0.6028
2320,0.5717
2321,0.5407
2322,0.5096
2323,0.4786
2324,0.4475
2325,0.4164
2326,0.3658
2327,0.3143
2328,0.2628
2329,0.2113
2330,0.1598
2331,0.1083
2332,0.0568
2333,0.0053
2334,-0.0145
2335,-0.0342
2336,-0.054
2337,-0.0737
2338,-0.0935
2339,-0.1133
2340,-0.1143
2341,-0.1154
2342,-0.1005
2343,-0.0856
2344,-0.0707
2345,-0.0558
2346,-0.0408
2347,-0.0259
2348,-0.011
2349,-0.0177
2350,-0.0244
2351,-0.0311
2352,-0.0378
2353,-0.0445
2354,-0.0512
2355,-0.0578
2356,-0.0645
2357,-0.0516
2358,-0.0387
2359,-0.0258
2360,-0.0129
2361,0
2362,0.0129
2363,0.0258
2364,0.0388
2365,0.0573
2366,0.0758
2367,0.0943
2368,0.1128
2369,0.1313
2370,0.1498
2371,0.1683
2372,0.1869
2373,0.183
2374,0.1791
2375,0.1752
2376,0.1713
2377,0.1674
2378,0.1635
2379,0.1596
2380,0.1557
2381,0.093
2382,0.0303
2383,-0.0325
2384,-0.0952
2385,-0.1579
2386,-0.2206
2387,-0.2833
2388,-0.346
2389,-0.3023
2390,-0.2586
2391,-0.2149
2392,-0.1712
2393,-0.1275
2394,-0.0838
2395,-0.04
2396,-0.0439
2397,-0.0478
2398,-0.0518
2399,-0.0557
2400,-0.0596
2401,-0.0635
2402,-0.0674
2403,-0.0713
2404,-0.0948
2405,-0.1295
2406,-0.1642
2407,-0.1429
2408,-0.1216
2409,-0.1003
2410,-0.023
2411,0.0543
2412,0.1316
2413,0.209
2414,0.2153
2415,0.2217
2416,0.228
2417,0.2568
2418,0.2856
2419,0.3143
2420,0.3132
2421,0.3121
2422,0.311
2423,0.3323
2424,0.3536
2425,0.3749
2426,0.2692
2427,0.1635
2428,0.0579
2429,0.0045
2430,-0.0489
2431,-0.1023
2432,-0.025
2433,0.0523
2434,0.1296
2435,0.2069
2436,0.217
2437,0.2271
2438,0.2484
2439,0.2025
2440,0.1565
2441,0.1106
2442,0.1031
2443,0.0956
2444,0.088
2445,0.0805
2446,0.073
2447,0.0655
2448,0.0579
2449,0.0664
2450,0.0749
2451,0.0834
2452,0.0919
2453,0.1004
2454,0.1088
2455,0.1173
2456,0.0746
2457,0.0318
2458,-0.0109
2459,-0.0536
2460,-0.0964
2461,-0.1391
2462,-0.1818
2463,-0.1242
2464,-0.0665
2465,-0.0088
2466,0.0489
2467,0.1066
2468,0.1643
2469,0.222
2470,0.2797
2471,0.2561
2472,0.2139
2473,0.1717
2474,0.1295
2475,0.0873
2476,0.0451
2477,0.0029
2478,0.0337
2479,0.0646
2480,0.0955
2481,0.1264
2482,0.1572
2483,0.1881
2484,0.219
2485,0.2146
2486,0.2103
2487,0.206
2488,0.2016
2489,0.1973
2490,0.1929
2491,0.1886
2492,0.2227
2493,0.2567
2494,0.2908
2495,0.3249
2496,0.3589
2497,0.393
2498,0.4271
2499,0.4483
2500,0.4696
2501,0.4909
2502,0.5121
2503,0.5334
2504,0.5547
2505,0.5759
2506,0.5748
2507,0.5512
2508,0.5277
2509,0.5041
2510,0.4805
2511,0.457
2512,0.4334
2513,0.4099
2514,0.3991
2515,0.3884
2516,0.3776
2517,0.3669
2518,0.3561
2519,0.3454
2520,0.3346
2521,0.3238
2522,0.3131
2523,0.3023
2524,0.2916
2525,0.2808
2526,0.2701
2527,0.2593
2528,0.2709
2529,0.2826
2530,0.2942
2531,0.3059
2532,0.3175
2533,0.3292
2534,0.3408
2535,0.3564
2536,0.3721
2537,0.3877
2538,0.4034
2539,0.4171
2540,0.4309
2541,0.4447
2542,0.4855
2543,0.5264
2544,0.5672
2545,0.6081
2546,0.6489
2547,0.6898
2548,0.7306
2549,0.7714
2550,0.7094
2551,0.6475
2552,0.5855
2553,0.5235
2554,0.4615
2555,0.3995
2556,0.3375
2557,0.3331
2558,0.3288
2559,0.3244
2560,0.32
2561,0.3156
2562,0.3113
2563,0.3069
2564,0.3121
2565,0.3173
2566,0.3226
2567,0.3278
2568,0.333
2569,0.3382
2570,0.3434
2571,0.3647
2572,0.3859
2573,0.4071
2574,0.4284
2575,0.4496
2576,0.4708
2577,0.492
2578,0.4806
2579,0.4693
2580,0.4579
2581,0.4465
2582,0.4352
2583,0.4238
2584,0.4124
2585,0.4031
2586,0.3938
2587,0.3845
2588,0.3751
2589,0.3577
2590,0.3402
2591,0.3227
2592,0.3053
2593,0.2878
2594,0.2703
2595,0.2529
2596,0.2354
2597,0.2179
2598,0.2005
2599,0.183
2600,0.1859
2601,0.1888
2602,0.1917
2603,0.1946
2604,0.1975
2605,0.2003
2606,0.2032
2607,0.2061
2608,0.209
2609,0.2119
2610,0.2148
2611,0.1892
2612,0.1636
2613,0.1379
2614,0.1123
2615,0.0867
2616,0.061
2617,0.0354
2618,0.0098
2619,-0.0159
2620,-0.0415
2621,-0.0671
2622,-0.0708
2623,-0.0744
2624,-0.078
2625,-0.0817
2626,-0.0853
2627,-0.0889
2628,-0.0926
2629,-0.0962
2630,-0.0999
2631,-0.1035
2632,-0.1051
2633,-0.1068
2634,-0.1084
2635,-0.1101
2636,-0.1117
2637,-0.1134
2638,-0.115
2639,-0.1167
2640,-0.1184
2641,-0.1175
2642,-0.1167
2643,-0.1097
2644,-0.1028
2645,-0.0958
2646,-0.0889
2647,-0.082
2648,-0.075
2649,-0.0681
2650,-0.0611
2651,-0.0542
2652,-0.0473
2653,-0.0403
2654,-0.0374
2655,-0.0346
2656,-0.0317
2657,-0.0289
2658,-0.026
2659,-0.0231
2660,-0.0203
2661,-0.0174
2662,-0.0145
2663,-0.0117
2664,-0.0088
2665,-0.0102
2666,-0.0117
2667,-0.0131
2668,-0.0145
2669,-0.0159
2670,-0.0173
2671,-0.0188
2672,-0.0202
2673,-0.0216
2674,-0.023
2675,-0.0446
2676,-0.0841
2677,-0.1236
2678,-0.1632
2679,-0.2027
2680,-0.2422
2681,-0.2817
2682,-0.3212
2683,-0.3608
2684,-0.4003
2685,-0.4398
2686,-0.4044
2687,-0.3689
2688,-0.3335
2689,-0.298
2690,-0.2626
2691,-0.2272
2692,-0.1917
2693,-0.1563
2694,-0.1209
2695,-0.0854
2696,-0.05
2697,-0.0553
2698,-0.0606
2699,-0.0659
2700,-0.0712
2701,-0.0765
2702,-0.0819
2703,-0.0872
2704,-0.0925
2705,-0.0978
2706,-0.1031
2707,-0.1084
2708,-0.1076
2709,-0.0934
2710,-0.0791
2711,-0.0649
2712,-0.0507
2713,-0.0364
2714,-0.0222
2715,-0.0079
2716,0.0063
2717,0.0205
2718,0.0348
2719,0.0109
2720,-0.0129
2721,-0.0368
2722,-0.0606
2723,-0.0845
2724,-0.1084
2725,-0.1322
2726,-0.1561
2727,-0.1799
2728,-0.2038
2729,-0.1989
2730,-0.1941
2731,-0.1892
2732,-0.1844
2733,-0.1795
2734,-0.1746
2735,-0.1698
2736,-0.1649
2737,-0.1601
2738,-0.1552
2739,-0.1504
2740,-0.1571
2741,-0.1637
2742,-0.1704
2743,-0.1857
2744,-0.2009
2745,-0.2161
2746,-0.2313
2747,-0.2466
2748,-0.2618
2749,-0.277
2750,-0.2987
2751,-0.3427
2752,-0.3867
2753,-0.4308
2754,-0.4748
2755,-0.5188
2756,-0.5629
2757,-0.6069
2758,-0.651
2759,-0.695
2760,-0.6354
2761,-0.5758
2762,-0.5163
2763,-0.4567
2764,-0.3971
2765,-0.3375
2766,-0.2779
2767,-0.2183
2768,-0.1728
2769,-0.2168
2770,-0.2609
2771,-0.3049
2772,-0.3489
2773,-0.393
2774,-0.4371
2775,-0.4811
2776,-0.5252
2777,-0.5692
2778,-0.6133
2779,-0.6312
2780,-0.6491
2781,-0.6748
2782,-0.7005
2783,-0.7263
2784,-0.752
2785,-0.8151
2786,-0.8781
2787,-0.9412
2788,-1.0043
2789,-1.1122
2790,-1.2201
2791,-1.3279
2792,-1.4358
2793,-1.5011
2794,-1.5664
2795,-1.6318
2796,-1.6971
2797,-1.7624
2798,-1.8053
2799,-1.8482
2800,-1.8912
2801,-1.9341
2802,-1.977
2803,-1.9258
2804,-1.8746
2805,-1.8234
2806,-1.7722
2807,-1.721
2808,-1.6889
2809,-1.6568
2810,-1.6143
2811,-1.5719
2812,-1.6135
2813,-1.6551
2814,-1.6968
2815,-1.7385
2816,-1.7801
2817,-1.76
2818,-1.74
2819,-1.72
2820,-1.7001
2821,-1.6334
2822,-1.5667
2823,-1.5
2824,-1.4334
2825,-1.3668
2826,-1.3001
2827,-1.2745
2828,-1.2489
2829,-1.2233
2830,-1.1529
2831,-1.0825
2832,-1.0121
2833,-0.9417
2834,-0.8713
2835,-0.8009
2836,-0.7081
2837,-0.6153
2838,-0.5225
2839,-0.5404
2840,-0.5583
2841,-0.5762
2842,-0.5941
2843,-0.612
2844,-0.6299
2845,-0.659
2846,-0.6881
2847,-0.7172
2848,-0.7356
2849,-0.754
2850,-0.7725
2851,-0.7909
2852,-0.8093
2853,-0.8278
2854,-0.8462
2855,-0.8902
2856,-0.9343
2857,-0.9559
2858,-0.9775
2859,-0.9992
2860,-1.0209
2861,-1.0425
2862,-1.0881
2863,-1.1339
2864,-1.1795
2865,-1.2253
2866,-1.2429
2867,-1.2605
2868,-1.2783
2869,-1.2959
2870,-1.3137
2871,-1.3313
2872,-1.3491
2873,-1.3667
2874,-1.3451
2875,-1.3237
2876,-1.3085
2877,-1.2934
2878,-1.2783
2879,-1.2632
2880,-1.248
2881,-1.233
2882,-1.1842
2883,-1.1516
2884,-1.1189
2885,-1.061
2886,-1.0031
2887,-0.9452
2888,-0.8873
2889,-0.8294
2890,-0.7715
2891,-0.7136
2892,-0.6557
2893,-0.6231
2894,-0.6324
2895,-0.6417
2896,-0.651
2897,-0.6604
2898,-0.6697
2899,-0.679
2900,-0.6884
2901,-0.6977
2902,-0.7098
2903,-0.7023
2904,-0.6949
2905,-0.6874
2906,-0.6799
2907,-0.6724
2908,-0.665
2909,-0.6554
2910,-0.6459
2911,-0.6336
2912,-0.5515
2913,-0.4695
2914,-0.3874
2915,-0.3054
2916,-0.2234
2917,-0.1413
2918,-0.0593
2919,0.0228
2920,0.1048
2921,0.03
2922,-0.0448
2923,-0.1196
2924,-0.1944
2925,-0.2692
2926,-0.344
2927,-0.4188
2928,-0.4936
2929,-0.5908
2930,-0.576
2931,-0.5612
2932,-0.5464
2933,-0.5315
2934,-0.5167
2935,-0.5019
2936,-0.4871
2937,-0.4723
2938,-0.4574
2939,-0.4451
2940,-0.4384
