BP,SU
932,-0.66
933,-0.48
934,-0.92
935,-0.93
936,-0.84
937,-0.75
938,-0.91
939,-0.83
940,-0.82
941,-0.87
942,-0.52
943,-0.67
944,-0.86
945,-0.9
946,-0.67
947,-1.05
948,-0.81
949,-0.82
950,-0.88
951,-0.55
952,-0.59
953,-0.53
954,-0.87
955,-0.72
956,-0.84
957,-0.39
958,-0.53
959,-0.32
960,-0.41
961,-0.83
962,-0.37
963,-0.48
964,-0.55
965,-0.38
966,0.17
967,-0.08
968,-0.36
969,-0.15
970,-0.43
971,-0.34
972,-0.7
973,-0.27
974,-0.18
975,-0.39
976,-0.26
977,-0.21
978,0.07
979,0.09
980,0.04
981,-0.17
982,-0.12
983,-0.47
984,-0.79
985,-0.6
986,-0.58
987,-0.59
988,-0.18
989,-0.57
990,-0.31
991,-0.56
992,-0.42
993,-0.57
994,-0.61
995,-0.58
996,-0.76
997,-0.9
998,-0.66
999,-0.58
1000,-0.43
1001,-0.73
1002,-0.67
1003,-0.51
1004,-0.53
1005,-0.46
1006,-0.5
1007,-0.35
1008,-0.6
1009,-0.84
1010,-0.67
1011,-0.55
1012,-0.37
1013,-0.62
1014,-0.71
1015,-0.53
1016,-0.52
1017,-0.37
1018,-0.42
1019,-0.57
1020,-0.61
1021,-0.55
1022,-0.43
1023,-0.51
1024,-0.13
1025,0.05
1026,-0.29
1027,-0.57
1028,-0.36
1029,0.09
1030,-0.24
1031,-0.49
1032,-0.48
1033,-0.64
1034,-0.37
1035,-0.62
1036,-0.52
1037,-0.4
1038,0.31
1039,0.48
1040,0.14
1041,0.07
1042,0.41
1043,-0.12
1044,-0.1
1045,0.26
1046,0.27
1047,-0.16
1048,0.2
1049,0.45
1050,-0.07
1051,0.37
1052,0.26
1053,-0.21
1054,-0.26
1055,0.64
1056,0.41
1057,0.29
1058,0.29
1059,0.25
1060,0.24
1061,0.36
1062,0.39
1063,0.19
1064,0.59
1065,0.57
1066,0.37
1067,-0.1
1068,0.18
1069,0.84
1070,0.55
1071,0.23
1072,0.2
1073,0.4
1074,0.15
1075,-0.08
1076,0.28
1077,0.22
1078,0.66
1079,0.13
1080,0.59
1081,0.81
1082,0.33
1083,0.31
1084,0.16
1085,-0.03
1086,-0.05
1087,0.19
1088,-0.01
1089,-0.16
1090,0.19
1091,-0.12
1092,-0.12
1093,0.02
1094,0.16
1095,0.16
1096,0.15
1097,0.02
1098,0.37
1099,0.5
