"","yearBP","vssi","Century","vssi_agg"
"771",-7139,0.36,NA,NA
"772",-7142,9.24,NA,NA
"773",-7144,0.75,NA,NA
"774",-7146,0.34,NA,NA
"775",-7148,0.72,NA,NA
"776",-7157,0.35,NA,NA
"777",-7161,1.55,NA,NA
"778",-7165,0.19,NA,NA
"779",-7172,0.25,NA,NA
"780",-7180,189.4,NA,NA
"781",-7188,1.61,NA,NA
"782",-7199,0.39,NA,NA
"783",-7231,0.54,NA,NA
"784",-7243,4.01,NA,NA
"785",-7247,4.21,NA,NA
"786",-7253,0.61,NA,NA
"787",-7258,13.79,NA,NA
"788",-7270,0.35,NA,NA
"789",-7286,10.23,NA,NA
"790",-7294,2.43,NA,NA
"791",-7302,2.59,NA,NA
"792",-7311,6.4,NA,NA
"793",-7314,1.87,NA,NA
"794",-7332,2.85,NA,NA
"795",-7339,1.21,NA,NA
"796",-7351,13.66,NA,NA
"797",-7362,1.02,NA,NA
"798",-7390,3.07,NA,NA
"799",-7394,0.54,NA,NA
"800",-7416,33.23,NA,NA
"801",-7419,0.37,NA,NA
"802",-7442,0.52,NA,NA
"803",-7461,3.37,NA,NA
"804",-7470,1.33,NA,NA
"805",-7473,10.25,NA,NA
"806",-7477,4.55,NA,NA
"807",-7485,15.06,NA,NA
"808",-7489,1.52,NA,NA
"809",-7501,8.72,NA,NA
"810",-7508,6.78,NA,NA
"811",-7515,11.18,NA,NA
